Branch Name,Branch Location
"Safeer Mall","Sheikh Khalifa Bin Zayed Street, Ajman"
"ADNOC Al Rumailah 590","Sheikh Rashid Bin Hamid Street, Ajman"
"Ajman Main Branch","Emirates NBD Building, Sheikh Rashid Bin Humaid St, Al Sawan, Ajman"
"ADNOC Shaab Club 574","Al Kuwait Street, Sharjah"
"ADNOC Al Maha 591","Mohammed Salem Bu Khamis Street, Liwara 1, Ajman"
"Ajman City Centre Branch","Ground Floor, Ajman City Centre, Ittihad Road, Jurf Industrial 3, Ajman"
"EPPCO 212 Khalifa Hospital","Industrial Area 1, Sheikh Maktoum Bin Rashid Street, Ajman"
"Factory Mall","Beirut Street, Industrial Area 2, Ajman"
"Matajer Al Quoz Branch","Ground Floor, Matajer Al Qouz Mall, Al Quoz area, Sharjah"
"ADNOC Al Arouba 192","Al Sharq, Al Qulaya'ah, Al Sharq Street, Sharjah"
"The Galleria Hayat Regency","Deira - Al Khaleej Road, Dubai"
"My City Centre Nasseriya 1","Al Nasserya, Sheikh Sultan Bin Saqr Al Qasimi Street"
"Hashim Hypermarket, Ajman","Sheikh Maktoum Bin Rashid Street, Ajman Industrial 1, Ajman"
"My City Centre Nasseriya 2","Al Nasserya, Sheikh Sultan Bin Saqr Al Qasimi Street"
"Ainas Al Madina Hypermarket","Gharnatah Street, Ajman Industrial 1, Ajman"
"Oasis Mall","Al Ghubaiba, Al Wahda Street, Sharjah"
"Muwafjah, Emarat","Muwafjah, Sheikh Mohammed Bin Zayed Road, Sharjah"
"Sharjah Central","Samnan -Sheikh Rashid Bin Saqr Al Qasimi Road"
"Matajer Al Musalla","Al Zahra Street, Sharjah"
"Al Razouki Exchange, Rolla","Al Ghuwair, Al Ghuwair Street, Sharjah"
"Mega Mall","Bu Daniq, King Abdul Aziz Street , Sharjah"
"Al Hooth Hypermarket","Al Hamidiya 1 , Sheikh Ammar Bin Humaid Road, Ajman"
"Tasheel  Abu Shagara","King Abdul Aziz Street, Al Bu Daniq, Sharjah"
"Sharjah Central Souq - Gold Souq","Al Majaz 1 - Street 8, Sharjah"
"Citylife - Al Jurf","Al Jurf, Ajman"
"Sharjah Main Branch","Ground Floor, Emirates NBD Building, Immigration Road, Al Qassimia Area, Sharjah"
"ENOC 1178","Muweilah, Sheikh Mohammed Bin Zayed Road, Sharjah"
"Sharjah Mega Mall","Al Estiqlal Street, Sharjah"
"ADNOC Al Shahba (769)","Al Shahba, University City Road"
"Al Zahia City Centre Branch","Ground Floor, City Centre Al Zahia, Sheikh Mohammad Bin Zayed Road, Sharjah"
"Ramez Mall","Industrial Area 5, University City Road, Sharjah"
"Tawjeeh Centre Sharjah Industrial 6","Sheikh Khalifa Bin Zayed Road, Industrial Area 6, Sharjah"
"Al Rawda, Emarat","Sheikh Ammar Bin Humaid Street"
"Spinneys King Faisal Road","Al Majaz 1 - King Faisal Road, Sharjah"
"Amber Madina Abu Shagara","Al Qasimia , King Faisal Road, Sharjah"
"ADNOC Al Madar 570","First Industrial Street, Sharjah"
"Sharjah City Center Branch","1st Floor, Sharjah City Center, Al Wahda Street, Sharjah"
"City Farms Hypermarket","Al Majaz - Al Majaz 3 - Sharjah"
"Al Fardan Center","Corniche Street, Al Majaz, Sharjah"
"Al Kabayel, Al Jerf","Sheikh Mohammed bin Rashid Al Maktoum Street, Al Jerf Industrial 1, Ajman"
"Azhar Al Madina","Third Industrial Street, Sharjah"
"Ramez Hypermarket","Industrial Area 13, Shaikh Mohammed bin Zayed Road, Sharjah"
"Amber Hypermarket – Jamal Abdul Nasir","Al Majaz , Jamal Abdul Nasir Street, Sharjah"
"Amber Hypermarket - Al Taawun","Al Taawun, Al Taawun Road, Sharjah"
"ADNOC Emirates Road 761","Industrial Area 11, Sheikh Mohammed Bin Zayed Road, Sharjah"
"EPPCO 84 Al Qusais Industrial Area 4","Al Qusais Industrial Area 4 - Damascus Street, Dubai"
"ENOC 1121 Al Nahda Street","Industrial Area 3, Al Nahda Street, Sharjah"
"ADNOC Al Dorra 573","Al Nahda, Al Ittihad Street, Sharjah"
"Tasjeel Qusais 751","Al Qusais Industrial Area 5, Beirut Street, Dubai"
"Abraj Al Nahda","Al Nahda, Bukhara Street, Sharjah"
"Sahara Mall Branch","Unit 1 C, Basement Parking, Sahara Centre,Al Ittihad Street, Al Nahda Area, Sharjah"
"EPPCO 80 Al Qusais Industrial Area 1","Al Qusais Industrial Area 1, Damascus Street, Dubai"
"Nesto Arab Mall","Al Taawun Road, Sharjah"
"Wasl Village","Al Qusais ,Industrial Area 5, Dubai"
"Qarayen, Emarat","Al Qarayen 5, 28 Street"
"ENOC 1049 Zulekha Hospital","204th St, Near Zulekha Hospital, Al Qusais, Dubai"
"Abraj Al Taawun","Al Taawun, Al Taawun Street, Sharjah"
"Madinat Al Qusais","Near Cattle Market, Next to EPPCO Petrol Station, Muhaisnah, Dubai"
"Mamzar Beach","106 th St, Drive thru ATM at Mamzar Beach, Deira, Dubai"
"Talal Belhoul - Amer Al Muhaisnah 2","Muhaisnah 4 - 17 A Street, Dubai"
"Emarat Taqaniya","Amman Street, Near NMC Hospital, Al Qusais, Dubai"
"Nesto Mia Mall","Al Nahda - Al Nahda street, Sharjah"
"Union Coop Nahda Mall","Al Nahda, Amman Street, Dubai"
"Ministry Of Human Resources & Emiratisation","Al Qusais 1 - Baghdad Street, Dubai"
"ADNOC Al Qusais 519","Al Qusais -Shaikh Mohammed bin Zayed Road, Dubai, United Arab Emirates"
"Grand Hyper Market Sonapur","Muhaisnah 2, Algeria Street, Dubai"
"Bin Shabib Mall","Baghdad Street, Al Qusais Industrial Area 1, Dubai"
"Al Qusais Branch","Damascus St, Near Dubai Grand Hotel, Al Qusais, Dubai"
"ENOC Accommodation Al Muheisnah","37th Street, Behind Orange Supermarket, Sonapur, Al Muheisnah, Dubai"
"Century Mall","Near Al Rasheed Road and Al Waheeda Road, Dubai"
"Al Qiyadah Branch","Al Ittihad Rd, next to Dubai Police Head Quarters, Dubai"
"DEWA Twar Center","Al Twar 2, Al Nahda Street, Dubai"
"Horizon Exchange","Muhaisnah 2 - Street 28"
"Union Coop Al Twar","Al Twar 1, Al Nahda Street, Dubai"
"Al Twar Centre","Al Qusais 2 - Al Nahda Road, Dubai"
"Al Hamriya Customs Building","Deira - Al Khaleej Road, Dubai"
"ADNOC Al Rahmania 238","Al Rahmania, Kshishah 3, Abu Amr Al Basri Street"
"Al Qusais Colony","Al Qusais, Al Nahda Street, Dubai"
"ENOC 1608","Al Twar, Al Quds Street, Dubai"
"Fly Dubai","Dubai International Airport - Airport Road, Dubai"
"Union Coop Abu Hail","Abu Hail, Al Hamriya Street, Dubai"
"EPPCO 36 Abu Hail Health Center","Abu Hail, Al Rasheed Road, Dubai"
"Abu Hail Centre","Al Quds St Intersection with 22 A St, Near Ramada Hotel, Deira, Dubai"
"Emirates Engineering","Al Quds Street, Dubai Airport Free Zone, Al Qusais, Dubai"
"Al Twar Branch","Dubai Airport Free Zone, East Admin Bldg, Ground Floor, Al Twar Area, Al Qusais, Dubai"
"Hamriya Branch","Ground Floor, Union Cooperative Hyper Market, Hamriya Shopping Complex, Hor Al Anz, Dubai"
"Waterfront Market","Deira - Al Khaleej Road, Dubai"
"Mizher Mall Branch","Mizher Mall, Al Mizher First Area, Dubai."
"Al Fardan Exchange, Hor Al Anz","30 B Street"
"Dubai Airport Free Zone","Next to Terminal 2 - Damascus St, Dubai"
"Emirates Group Security - DAFZA","DAFZA - Al Quds Street, Dubai"
"ENOC 1609","Al Twar, Al Quds Street"
"ENOC1103 Mazairah / Al Rahmaniya","Mazairah, Al Rahmaniya Mazairah Road, Sharjah"
"Dubai Hospital","Al Baraha, Al Khaleej Street, Dubai"
"Al Muraqqabat Branch","Emirates NBD Building, Mezzanine Floor, Hor Al Anz Road, Dubai"
"Arabian Centre","Al Khawaneej Street, Al Mizhar, Al Mizhar 1, Dubai"
"Union Coop Etihad Mall","Al Muhaisnah 1, Al Khawaneej Street, Dubai"
"Al Owais Cultural Foundation","Al Riqqa Road, Next to ADCB Branch, Deira, Dubai"
"Dubai Airport T3 Branch","Dubai Airport Terminal 3 Departure, Airport Road, Dubai"
"Mall of Umm Al Quwain","King Faisal St, Umm Al Quwain"
